species,co2flux
2,-928
2,-1034
2,-1066
2,-1151
2,-1215
3,-854
3,-875
3,-706
3,-631
3,-546
3,-536
3,-419
3,-334
3,928
3,1088
4,1756
4,568
4,-5
4,-546
4,-568
5,-472
5,-366
5,281
5,196
5,-249
5,-228
5,-175
5,-122
5,-27
6,-483
6,-239
6,-58
6,48
6,80
6,334
6,430
6,525
6,1172
6,1363
7,-1056
7,-897
7,-865
7,-472
7,-228
7,-122
7,-143
7,-69
7,90
7,228
8,897
9,-568
9,-260
9,599
9,706
9,1130
10,-642
10,-790
10,324
10,854
10,981
11,-164
11,101
11,260
11,419
11,631
11,684
11,886
11,1268
11,1597
12,-292
12,249
12,716
13,111
15,-143
15,239
15,610
16,366
16,716
16,833
18,16
18,218
19,345
