site,Rt.rattus,Mus.musculus,Pm.californicus,Pm.eremicus,Rs.megalotis,N.fuscipes,N.lepida,Pg.fallax,M.californicus
Florida,0,13,3,1,1,2,0,0,0
Sandmark,0,1,57,65,9,16,8,2,3
34street,0,4,36,0,2,9,0,0,0
Balboaterr,0,4,53,1,5,30,0,18,3
Katesess,0,2,63,21,11,16,0,0,0
Altalajolla,0,1,48,35,12,8,12,2,2
Laurel,0,11,0,0,0,0,0,0,0
Canon,0,16,0,0,0,0,0,0,0
Zena,3,8,0,0,0,0,0,0,0
Baja,1,2,0,0,0,0,0,0,0
Washington,0,9,0,0,0,0,0,0,0
Solanadrive,0,3,1,0,5,16,0,7,0
Syracuse,0,4,39,0,4,12,0,0,0
32streetsth,1,3,0,0,0,0,0,0,0
60th,0,11,0,0,0,0,0,0,0
Juan,0,4,0,0,0,0,0,0,0
Acuna,3,0,0,0,0,0,0,0,0
Edison,0,2,78,0,10,14,0,4,0
Spruce,0,0,1,0,0,0,0,0,0
Oakcrest,3,0,27,1,0,0,0,0,0
54street,2,1,0,0,0,0,0,0,0
Titus,0,3,0,0,0,0,0,0,0
Montanosa,0,0,0,0,2,8,0,2,0
Elmac,1,0,0,0,0,0,0,0,0
32streetnth,0,5,0,0,0,0,0,0,0
Tec1,0,0,22,0,0,11,0,2,0
Tec2,0,0,29,0,10,9,0,1,0
Delmarmesa,0,0,10,1,0,1,0,0,0
